time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010451400000	9.38498	20.8719	4.78743	3.31992	0.413339	lidar	1.29494	9.53921	20.8762	9.35258	20.9607	-4.82714	-0.899977
1477010451450000	9.15775	20.8307	4.78219	3.34459	0.428665	radar	1.59078	9.63392	20.9724	9.11177	20.9128	-4.80919	-1.01362
1477010451500000	8.88158	20.7973	4.82828	3.35598	0.41417	lidar	1.79732	8.70331	20.8221	8.87192	20.8594	-4.78881	-1.12605
1477010451550000	8.66136	20.7171	4.81689	3.39558	0.450896	radar	4.69941	9.84634	20.009	8.63315	20.8003	-4.76608	-1.2372
1477010451600000	8.39778	20.6313	4.85214	3.42513	0.457905	lidar	2.72031	8.22277	20.4839	8.39557	20.7358	-4.74108	-1.34701
1477010451650000	8.16903	20.5497	4.85369	3.45935	0.484291	radar	0.197572	8.29647	20.4978	8.1593	20.6657	-4.71387	-1.45542
1477010451700000	7.93037	20.4697	4.86387	3.48324	0.483381	lidar	0.124512	7.88599	20.45	7.92445	20.5903	-4.68453	-1.56237
1477010451750000	7.71444	20.3816	4.86073	3.52393	0.530535	radar	3.57288	8.29081	20.6565	7.69111	20.5096	-4.65313	-1.66781
1477010451800000	7.42482	20.3221	4.92571	3.5279	0.498601	lidar	3.693	7.18029	20.392	7.45939	20.4237	-4.61975	-1.7717
1477010451850000	7.19601	20.2242	4.92709	3.55167	0.493401	radar	0.225915	7.09214	20.1196	7.22939	20.3326	-4.58448	-1.87399
1477010451900000	6.93719	20.1428	4.95964	3.56318	0.474935	lidar	0.964765	6.81542	20.1859	7.00119	20.2364	-4.54738	-1.97462
1477010451950000	6.71296	20.0504	4.95403	3.5788	0.458427	radar	0.378501	6.89359	20.1536	6.7749	20.1352	-4.50854	-2.07357
1477010452000000	6.46573	19.9614	4.97509	3.59023	0.442756	lidar	0.507155	6.38914	20.0137	6.55059	20.0292	-4.46805	-2.17079
1477010452050000	6.24911	19.8666	4.96605	3.60901	0.44265	radar	2.69261	6.67637	20.2142	6.32834	19.9183	-4.42598	-2.26625
1477010452100000	5.98987	19.7756	5.00008	3.61472	0.420247	lidar	1.15036	5.86119	19.8306	6.10823	19.8027	-4.38241	-2.35993
1477010452150000	5.77253	19.6253	5.01757	3.66578	0.487414	radar	2.24936	5.28178	19.5036	5.89034	19.6824	-4.33744	-2.45178
1477010452200000	5.58123	19.5041	4.99063	3.69221	0.491292	lidar	0.90018	5.69089	19.5755	5.67472	19.5577	-4.29114	-2.5418
1477010452250000	5.38269	19.3532	4.98649	3.72904	0.512194	radar	1.66549	5.9506	18.9859	5.46145	19.4284	-4.24359	-2.62995
1477010452300000	5.16298	19.2532	4.98579	3.73577	0.488165	lidar	1.8789	5.17021	19.4397	5.25059	19.2948	-4.19488	-2.71622
1477010452350000	4.96252	19.143	4.95898	3.73666	0.436062	radar	4.51115	5.87397	19.301	5.04219	19.157	-4.1451	-2.80059
1477010452400000	4.78967	18.9909	4.93316	3.7701	0.452491	lidar	0.607775	4.89149	18.982	4.8363	19.015	-4.09432	-2.88305
1477010452450000	4.58644	18.8399	4.94658	3.80004	0.47485	radar	1.46627	3.98679	19.0452	4.63297	18.8689	-4.04263	-2.96359
